ID,Größe
1,160
2,172
3,168
4,183
5,175
6,189
7,156
8,167
9,195
10,165
11,162
12,172
13,185
14,158
15,157
16,172
17,156
18,182
19,162
20,168
21,167
22,175
23,164
24,155
25,183
26,145
27,161
28,182
29,169
30,172
31,172
32,192
33,175
34,173
35,170
36,176
37,180
38,185
39,172
40,171
41,153
42,157
43,190
44,173
45,170
46,160
47,170
48,171
49,160
50,181
51,161
52,164
53,170
54,174
55,171
56,184
57,173
58,167
59,182
60,159
61,167
62,183
63,157
64,173
65,171
66,182
67,169
68,167
69,174
70,194
71,182
72,152
73,154
74,159
75,153
76,150
77,167
78,149
79,155
80,177
81,180
82,159
83,174
84,174
85,159
86,160
87,169
88,166
89,155
90,178
91,162
92,181
93,168
94,181
95,158
96,177
97,169
98,176
99,166
100,173
101,168
102,155
103,173
104,177
105,176
106,190
107,190
108,174
109,183
110,162
111,173
112,192
113,164
114,192
115,155
116,176
117,168
118,175
119,156
120,163
121,172
122,166
123,168
124,170
125,155
126,174
127,164
128,178
129,168
130,160
131,187
132,153
133,187
134,173
135,156
136,162
137,166
138,165
139,172
140,172
141,178
142,179
143,173
144,166
145,172
146,172
147,159
148,179
149,164
150,160
151,180
152,158
153,171
154,162
155,156
156,189
157,166
158,172
159,180
160,184
161,148
162,161
163,164
164,185
165,171
166,175
167,156
168,162
169,168
170,160
171,171
172,180
173,172
174,156
175,172
176,187
177,177
178,163
179,190
180,177
181,164
182,155
183,150
184,152
185,176
186,164
187,155
188,181
189,156
190,168
191,192
192,184
193,188
194,178
195,152
196,156
197,172
198,161
199,177
200,180
201,164
202,169
203,158
204,146
205,173
206,166
207,165
208,167
209,143
210,182
211,161
212,174
213,189
214,161
215,176
216,152
217,175
218,165
219,174
220,162
221,160
222,170
223,197
224,149
225,165
226,159
227,178
228,180
229,169
230,169
231,172
232,170
233,179
234,173
235,159
236,169
237,183
238,182
239,170
240,151
241,184
242,183
243,166
244,168
245,164
246,168
247,170
248,157
249,165
250,165
251,173
252,170
253,180
254,162
255,163
256,188
257,180
258,191
259,155
260,172
261,172
262,177
263,177
264,144
265,178
266,161
267,183
268,168
269,181
270,186
271,169
272,171
273,182
274,152
275,175
276,157
277,189
278,157
279,181
280,173
281,174
282,183
283,154
284,163
285,176
286,157
287,168
288,191
289,182
290,173
291,176
292,170
293,187
294,150
295,167
296,163
297,175
298,157
299,164
300,179
301,180
302,192
303,175
304,186
305,175
306,159
307,163
308,158
309,160
310,178
311,182
312,181
313,166
314,154
315,177
316,174
317,183
318,181
319,186
320,183
321,180
322,169
323,163
324,180
325,173
326,161
327,170
328,174
329,188
330,175
331,162
332,169
333,174
334,174
335,178
336,163
337,166
338,188
339,168
340,176
341,171
342,166
343,166
344,178
345,173
346,156
347,178
348,163
349,186
350,163
351,172
352,182
353,186
354,181
355,171
356,166
357,180
358,174
359,183
360,172
361,186
362,177
363,180
364,182
365,171
366,180
367,171
368,182
369,186
370,168
371,173
372,152
373,188
374,174
375,186
376,166
377,155
378,171
379,181
380,158
381,180
382,181
383,165
384,152
385,158
386,154
387,180
388,180
389,162
390,165
391,155
392,167
393,176
394,165
395,182
396,149
397,188
398,160
399,159
400,166
401,167
402,187
403,154
404,172
405,183
406,177
407,171
408,177
409,182
410,182
411,159
412,173
413,196
414,163
415,167
416,162
417,171
418,182
419,180
420,188
421,164
422,181
423,161
424,165
425,188
426,157
427,179
428,172
429,162
430,155
431,188
432,179
433,172
434,190
435,158
436,165
437,185
438,165
439,186
440,156
441,163
442,182
443,172
444,174
445,170
446,174
447,170
448,188
449,165
450,160
451,169
452,181
453,180
454,174
455,175
456,190
457,168
458,157
459,184
460,183
461,155
462,167
463,162
464,165
465,180
466,171
467,165
468,181
469,164
470,167
471,169
472,178
473,160
474,200
475,167
476,160
477,170
478,174
479,182
480,171
481,165
482,150
483,193
484,173
485,169
486,167
487,165
488,161
489,174
490,170
491,166
492,174
493,179
494,197
495,166
496,178
497,173
498,173
499,184
500,155
501,168
502,174
503,149
504,161
505,170
506,172
507,175
508,166
509,173
510,178
511,165
512,155
513,171
514,188
515,186
516,157
517,176
518,169
519,158
520,170
521,148
522,192
523,174
524,183
525,169
526,193
527,154
528,187
529,156
530,175
531,181
532,164
533,164
534,167
535,164
536,189
537,154
538,163
539,186
540,190
541,193
542,156
543,166
544,178
545,170
546,174
547,166
548,176
549,167
550,168
551,172
552,168
553,153
554,167
555,183
556,183
557,159
558,178
559,164
560,164
561,162
562,158
563,188
564,164
565,161
566,159
567,186
568,169
569,174
570,174
571,167
572,161
573,187
574,164
575,162
576,177
577,160
578,187
579,176
580,166
581,171
582,179
583,167
584,139
585,186
586,173
587,196
588,159
589,173
590,175
591,169
592,153
593,168
594,167
595,197
596,170
597,175
598,160
599,158
600,165
601,165
602,164
603,177
604,167
605,188
606,176
607,172
608,179
609,178
610,166
611,157
612,174
613,170
614,174
615,171
616,179
617,173
618,172
619,184
620,175
621,174
622,174
623,187
624,153
625,167
626,187
627,188
628,180
629,189
630,190
631,175
632,164
633,151
634,167
635,179
636,168
637,179
638,168
639,162
640,163
641,168
642,172
643,166
644,176
645,159
646,176
647,169
648,173
649,162
650,170
651,158
652,178
653,183
654,166
655,182
656,182
657,177
658,182
659,184
660,177
661,186
662,165
663,160
664,190
665,165
666,166
667,154
668,174
669,181
670,177
671,167
672,184
673,167
674,177
675,174
676,154
677,166
678,168
679,172
680,189
681,154
682,168
683,176
684,183
685,168
686,143
687,166
688,184
689,149
690,191
691,167
692,158
693,171
694,175
695,199
696,192
697,149
698,187
699,182
700,169
701,157
702,182
703,165
704,182
705,160
706,168
707,186
708,182
709,184
710,170
711,179
712,172
713,173
714,192
715,164
716,179
717,192
718,160
719,192
720,183
721,184
722,168
723,178
724,173
725,176
726,151
727,178
728,169
729,160
730,176
731,172
732,173
733,165
734,169
735,182
736,152
737,170
738,188
739,178
740,172
741,190
742,181
743,173
744,183
745,169
746,157
747,177
748,181
749,158
750,180
751,160
752,182
753,167
754,176
755,147
756,166
757,160
758,162
759,168
760,176
761,171
762,149
763,169
764,168
765,174
766,161
767,165
768,163
769,157
770,170
771,187
772,195
773,152
774,167
775,152
776,178
777,182
778,162
779,163
780,188
781,184
782,178
783,190
784,170
785,164
786,155
787,161
788,167
789,178
790,168
791,155
792,161
793,162
794,172
795,169
796,187
797,159
798,192
799,165
800,178
801,181
802,186
803,182
804,155
805,184
806,156
807,171
808,160
809,180
810,169
811,183
812,184
813,167
814,177
815,185
816,181
817,168
818,195
819,178
820,183
821,176
822,175
823,162
824,163
825,151
826,184
827,163
828,181
829,174
830,156
831,164
832,169
833,188
834,166
835,174
836,165
837,165
838,170
839,172
840,182
841,181
842,156
843,180
844,165
845,152
846,169
847,186
848,174
849,168
850,183
851,193
852,157
853,166
854,171
855,184
856,189
857,189
858,169
859,154
860,177
861,165
862,163
863,177
864,176
865,196
866,186
867,167
868,174
869,184
870,153
871,183
872,161
873,178
874,180
875,194
876,180
877,175
878,186
879,158
880,185
881,174
882,182
883,181
884,178
885,149
886,169
887,185
888,187
889,159
890,163
891,148
892,161
893,189
894,167
895,187
896,158
897,185
898,180
899,165
900,185
901,167
902,190
903,164
904,182
905,154
906,174
907,192
908,169
909,163
910,153
911,174
912,160
913,161
914,152
915,179
916,172
917,175
918,166
919,160
920,165
921,152
922,166
923,176
924,178
925,155
926,174
927,163
928,164
929,167
930,164
931,168
932,144
933,180
934,176
935,163
936,162
937,203
938,182
939,175
940,186
941,188
942,171
943,164
944,171
945,161
946,168
947,178
948,168
949,154
950,174
951,166
952,156
953,172
954,175
955,171
956,165
957,175
958,179
959,156
960,165
961,180
962,160
963,160
964,166
965,164
966,154
967,180
968,178
969,170
970,188
971,165
972,167
973,160
974,158
975,174
976,162
977,170
978,182
979,167
980,180
981,173
982,174
983,159
984,162
985,176
986,164
987,171
988,181
989,187
990,193
991,163
992,161
993,170
994,149
995,176
996,179
997,160
998,142
999,176
1000,180
1001,156
1002,166
1003,168
1004,178
1005,165
1006,178
1007,166
1008,183
1009,179
1010,170
1011,173
1012,178
1013,181
1014,158
1015,165
1016,166
1017,174
1018,176
1019,160
1020,165
1021,185
1022,168
1023,157
1024,179
1025,178
1026,161
1027,162
1028,184
1029,185
1030,171
1031,158
1032,172
1033,157
1034,169
1035,186
1036,154
1037,172
1038,178
1039,188
1040,172
1041,185
1042,171
1043,198
1044,184
1045,163
1046,167
1047,181
1048,158
1049,186
1050,164
1051,183
1052,163
1053,147
1054,153
1055,163
1056,164
1057,175
1058,148
1059,145
1060,180
1061,170
1062,190
1063,186
1064,181
1065,168
1066,175
1067,164
1068,181
1069,175
1070,166
1071,150
1072,162
1073,164
1074,189
1075,155
1076,172
1077,158
1078,181
1079,181
1080,174
1081,159
1082,182
1083,175
1084,170
1085,189
1086,165
1087,159
1088,172
1089,178
1090,154
1091,173
1092,174
1093,173
1094,162
1095,183
1096,183
1097,188
1098,153
1099,172
1100,162
1101,169
1102,160
1103,157
1104,171
1105,169
1106,167
1107,186
1108,187
1109,178
1110,160
1111,184
1112,176
1113,166
1114,179
1115,175
1116,191
1117,171
1118,167
1119,167
1120,154
1121,172
1122,159
1123,165
1124,180
1125,176
1126,190
1127,154
1128,168
1129,188
1130,164
1131,155
1132,154
1133,147
1134,170
1135,186
1136,149
1137,176
1138,190
1139,157
1140,186
1141,189
1142,184
1143,157
1144,184
1145,164
1146,167
1147,146
1148,185
1149,154
1150,172
1151,178
1152,164
1153,178
1154,175
1155,145
1156,171
1157,175
1158,200
1159,168
1160,162
1161,156
1162,162
1163,174
1164,152
1165,195
1166,187
1167,181
1168,186
1169,180
1170,186
1171,148
1172,164
1173,172
1174,181
1175,176
1176,162
1177,173
1178,168
1179,196
1180,163
1181,177
1182,184
1183,182
1184,161
1185,165
1186,181
1187,170
1188,175
1189,186
1190,172
1191,195
1192,154
1193,180
1194,186
1195,189
1196,176
1197,168
1198,184
1199,174
1200,154
1201,174
1202,163
1203,156
1204,186
1205,172
1206,157
1207,174
1208,161
1209,178
1210,168
1211,181
1212,161
1213,169
1214,165
1215,174
1216,178
1217,167
1218,151
1219,160
1220,153
1221,176
1222,195
1223,174
1224,177
1225,165
1226,162
1227,166
1228,178
1229,186
1230,172
1231,165
1232,186
1233,188
1234,182
1235,180
1236,176
1237,189
1238,164
1239,167
1240,150
1241,153
1242,194
1243,154
1244,175
1245,164
1246,160
1247,187
1248,177
1249,174
1250,178
1251,163
1252,185
1253,162
1254,170
1255,181
1256,172
1257,179
1258,186
1259,160
1260,171
1261,156
1262,172
1263,178
1264,187
1265,158
1266,174
1267,192
1268,183
1269,172
1270,184
1271,184
1272,183
1273,160
1274,182
1275,181
1276,163
1277,152
1278,169
1279,178
1280,176
1281,174
1282,181
1283,164
1284,161
1285,182
1286,170
1287,171
1288,157
1289,170
1290,167
1291,178
1292,154
1293,185
1294,165
1295,160
1296,160
1297,171
1298,153
1299,172
1300,155
1301,182
1302,159
1303,160
1304,189
1305,178
1306,181
1307,179
1308,166
1309,164
1310,154
1311,189
1312,182
1313,159
1314,160
1315,180
1316,185
1317,152
1318,165
1319,160
1320,159
1321,168
1322,169
1323,190
1324,157
1325,193
1326,178
1327,178
1328,178
1329,158
1330,160
1331,181
1332,194
1333,186
1334,178
1335,172
1336,161
1337,161
1338,158
1339,175
1340,171
1341,183
1342,169
1343,176
1344,178
1345,162
1346,155
1347,169
1348,178
1349,174
1350,179
1351,185
1352,154
1353,178
1354,173
1355,178
1356,173
1357,179
1358,164
1359,165
1360,162
1361,173
1362,172
1363,168
1364,164
1365,180
1366,175
1367,166
1368,156
1369,166
1370,196
1371,179
1372,194
1373,170
1374,178
1375,157
1376,159
1377,158
1378,199
1379,182
1380,189
1381,174
1382,162
1383,169
1384,162
1385,176
1386,145
1387,163
1388,164
1389,176
1390,160
1391,164
1392,183
1393,163
1394,166
1395,177
1396,179
1397,167
1398,153
1399,166
1400,183
1401,176
1402,194
1403,172
1404,184
1405,185
1406,180
1407,157
1408,159
1409,195
1410,193
1411,188
1412,165
1413,153
1414,186
1415,175
1416,172
1417,177
1418,172
1419,162
1420,176
1421,170
1422,180
1423,188
1424,159
1425,182
1426,181
1427,185
1428,173
1429,171
1430,152
1431,167
1432,169
1433,164
1434,157
1435,177
1436,177
1437,160
1438,168
1439,173
1440,180
1441,170
1442,167
1443,169
